model,step,timestamp,combined_pvalue
Ponita,500,2025-09-29T17:21:18.759839,5.824395248928e-01
Ponita,510,2025-09-29T17:27:05.746151,2.994057460521e-06
Ponita,520,2025-09-29T17:32:53.059465,1.857954441200e-15
Ponita,530,2025-09-29T17:38:40.493780,1.169393241328e-06
Ponita,540,2025-09-29T17:44:28.271092,2.494434688370e-06
Ponita,550,2025-09-29T17:50:15.166399,8.152112952310e-01
Ponita,560,2025-09-29T17:56:01.366700,8.606872467463e-01
Ponita,570,2025-09-29T18:01:47.195000,5.180326983120e-02
Ponita,580,2025-09-29T18:07:35.371315,8.255218066074e-01
Ponita,590,2025-09-29T18:13:22.890625,2.305448528294e-09
Ponita,600,2025-09-29T18:19:11.000939,3.429021306491e-04
Ponita,610,2025-09-29T18:24:59.678258,8.340825048041e-04
Ponita,620,2025-09-29T18:30:47.748572,2.806452269771e-01
Ponita,630,2025-09-29T18:36:35.477884,8.787801717598e-01
Ponita,640,2025-09-29T18:42:23.143195,1.748655911325e-01
Ponita,650,2025-09-29T18:48:10.770506,8.014454278588e-01
Ponita,660,2025-09-29T18:53:59.454825,6.194788581273e-01
Ponita,670,2025-09-29T18:59:46.713134,9.926662853119e-04
Ponita,680,2025-09-29T19:05:32.927435,3.988781063716e-01
Ponita,690,2025-09-29T19:11:20.163744,9.349095064509e-10
Ponita,700,2025-09-29T19:17:08.256058,2.496885484968e-03
Ponita,710,2025-09-29T19:22:55.982370,9.620981833857e-10
Ponita,720,2025-09-29T19:28:44.227685,1.033211110086e-07
Ponita,730,2025-09-29T19:34:31.576995,2.274335663436e-01
Ponita,740,2025-09-29T19:40:18.750303,1.102119984227e-01
Ponita,750,2025-09-29T19:46:05.745637,1.069856719151e-08
Ponita,760,2025-09-29T19:51:53.084090,9.282622697477e-04
Ponita,770,2025-09-29T19:57:40.821546,9.962251965952e-01
Ponita,780,2025-09-29T20:03:27.586995,8.434202184262e-01
Ponita,790,2025-09-29T20:09:14.901448,9.943253602816e-01
Ponita,800,2025-09-29T20:15:02.990907,1.828441468962e-07
Ponita,810,2025-09-29T20:20:51.990372,7.412373034311e-01
Ponita,820,2025-09-29T20:26:39.678827,1.537217988525e-06
Ponita,830,2025-09-29T20:32:27.185282,4.638424387881e-03
Ponita,840,2025-09-29T20:38:14.159732,5.132419656352e-08
Ponita,850,2025-09-29T20:44:00.732180,4.689914632057e-01
Ponita,860,2025-09-29T20:49:48.043633,9.710180759402e-01
Ponita,870,2025-09-29T20:55:35.151085,8.601334925017e-02
Ponita,880,2025-09-29T21:01:20.487524,3.206081307079e-02
Ponita,890,2025-09-29T21:07:07.371974,1.564919389197e-01
Ponita,900,2025-09-29T21:12:53.230417,1.784871940731e-01
Ponita,910,2025-09-29T21:18:40.874872,8.141962536591e-02
Ponita,920,2025-09-29T21:24:28.964330,7.019880942739e-01
Ponita,930,2025-09-29T21:30:16.425784,3.040947930762e-01
Ponita,940,2025-09-29T21:36:04.324241,9.435458432832e-01
Ponita,950,2025-09-29T21:41:51.552694,7.463950721862e-01
Ponita,960,2025-09-29T21:47:39.223150,1.825878661922e-04
Ponita,970,2025-09-29T21:53:27.058606,4.258240055915e-05
Ponita,980,2025-09-29T21:59:14.619061,9.154462258975e-01
Ponita,990,2025-09-29T22:05:02.882521,9.991501049763e-01
Ponita,1000,2025-09-29T22:10:50.265974,9.099126200870e-09
Ponita,1010,2025-09-29T22:16:37.539427,8.269973465770e-01
